"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison"
"Perkinsozoa",0.000968801820568112,0.19146165158651,0.000650213476065043,1.48997499472189,0.00325317686125949,0.00191335401427984,13,0.992719718298796,0.81,"Perkinsozoa","Cuba8_Control"
"Picozoa",8.4845839163127e-05,0.19146165158651,9.55220125415895e-05,0.888233370566662,0.000169691678326254,0,15,0.997563893147101,0.723,"Picozoa","Cuba8_Control"
"Preaxostyla",0.000927473717030289,0.19146165158651,0.00075629873210435,1.22633250283212,0.00404844903118495,0.00492556927518757,12,0.999556852046036,0.311,"Preaxostyla","Cuba8_Control"
"Tubulinea",0.0102955169332236,0.19146165158651,0.00931199727139323,1.10561855133396,0.0364853794151726,0.0352380296123345,14,1,0.146,"Tubulinea","Cuba8_Control"
"Apicomplexa",0.00489605945350593,0.19890583894737,0.00392361256212947,1.24784477977323,0.0186253024763402,0.0224631261374085,4,0.282759387597387,1,"Apicomplexa","DAOM197198_Control"
"Bacillariophyta",0.00483601931657095,0.19890583894737,0.00460452166044688,1.05027615748073,0.0285109956095271,0.0337307573744893,8,0.491524645687621,0.909,"Bacillariophyta","DAOM197198_Control"
"Cercozoa",0.00816495838126281,0.19890583894737,0.00618374079416814,1.32039143506195,0.0278303312990607,0.0295788400688818,11,0.643698228818978,0.934,"Cercozoa","DAOM197198_Control"
"Ciliophora",0.056242493210303,0.19890583894737,0.0390720752588051,1.43945497744271,0.357406517118267,0.320286339394937,5,0.742097309765161,0.403,"Ciliophora","DAOM197198_Control"
"Discosea",0.0195721517472507,0.19890583894737,0.0150837042595267,1.29756931125783,0.109913121205769,0.091086515517305,7,0.808038225999612,0.072,"Discosea","DAOM197198_Control"
"Endomyxa",0.00557026007262407,0.19890583894737,0.00392705041645376,1.41843355238973,0.028132496498346,0.0193432358249873,16,0.853034469710575,0.034,"Endomyxa","DAOM197198_Control"
"Euglenozoa",0.0131160332645717,0.19890583894737,0.0113215911597292,1.15849734189531,0.0310511446128284,0.0525058765030116,3,0.894083834698916,0.439,"Euglenozoa","DAOM197198_Control"
"Evosea",0.0415246288035021,0.19890583894737,0.0377081513481468,1.10121094031153,0.157258176016507,0.232441429328894,6,0.922088342269445,0.001,"Evosea","DAOM197198_Control"
"Haptophyta",0.00104123077707757,0.19890583894737,0.00108260908514843,0.961779086617223,0.00709180560987673,0.00724671973799133,1,0.946703303194757,0.991,"Haptophyta","DAOM197198_Control"
"Heterolobosea",0.00206272559965091,0.19890583894737,0.00153031473023801,1.34790939333773,0.013961668261398,0.0145350829667874,2,0.971016412061564,0.673,"Heterolobosea","DAOM197198_Control"
"Oomycota",0.0302682142183699,0.19890583894737,0.0324655971433943,0.93231657143656,0.188693037946825,0.133818970366363,10,0.98138677429209,0.461,"Oomycota","DAOM197198_Control"
"Parabasalia",0.000321437130248495,0.19890583894737,0.000287307818489061,1.11879005569329,0.000698870617698236,0.000886153877141728,13,0.98778664525398,0.635,"Parabasalia","DAOM197198_Control"
"Perkinsozoa",0.00127297170282968,0.19890583894737,0.00189058401180058,0.673321944374908,0.00381083664631972,0.00191335401427984,9,0.993021437669265,0.591,"Perkinsozoa","DAOM197198_Control"
"Picozoa",9.09698977324112e-05,0.19890583894737,9.66597739433541e-05,0.941135014299977,0.000181939795464822,0,15,0.997926621811791,0.634,"Picozoa","DAOM197198_Control"
"Preaxostyla",0.000975669767060462,0.19890583894737,0.000839469526953344,1.1622456036033,0.00366143843926199,0.00492556927518757,12,0.999542648429961,0.186,"Preaxostyla","DAOM197198_Control"
"Tubulinea",0.00895001560480946,0.19890583894737,0.0109490900301217,0.817420952808619,0.0231723178465104,0.0352380296123345,14,1,0.452,"Tubulinea","DAOM197198_Control"
